pmJqb7-EckluXUk6Rtml6A,Chinese,3,83
FZQ-l92qE1NqpI5lbmAM_g,Indian,3,11
cJfbydHniqWsGL2VHVDHEg,Indian,4,210
qu3niqEXOUdNxCCXnSPBYg,Chinese,4,56
B_kcyXzmkJlFI9pSl7PHvw,French,5,54
FXhSEZfIqjMZh4hR0_8jMQ,Chinese,4,378
VC1udoc_sbHdFaBr0-bMsA,Indian,4,47
ejmJTjHzdMxoq3t7pnnjrg,Japanese,4,116
HDoJIH-qW9FqJ5WB-bKTqA,Asian Fusion,4,61
MSVftNJ5lwPK9TQtHayaPQ,Japanese,4,111
PqqnNrUtU7XTKQvUM4cyqQ,Mexican,4,150
R7PHDW6wKzYHOOh4f6MrzA,Halal,3,22
w5OkGoc_gcA3EA399aV1Jg,Indian,3,160
FkA9aoMhWO4XKFMTuTnl4Q,Mexican,3,219
MXstrG3HjF83LcxAd8OpTw,Cantonese,4,59
xFp3xSQ43J-i7nmJfNBsZA,Sushi Bars,4,472
KT8Th7GSEdBiIhkIlqOV5g,Himalayan/Nepalese,3,6
MzIUB4_G9TemKsPZJkelIw,Indian,3,329
TCJrcryBkI6eg2HYThoiKg,Seafood,4,313
XaEFFUabnbH8ZF7ccmSAlQ,Chinese,4,155
OHD58Nwnf5sSMpSgpiUk3Q,Indian,4,3
IFZ3_d01uflGixWrrD8_gg,Afghan,4,455
XH2CNWlLU2HXROsT5NkCmA,Fast Food,3,91
enDIsmxSG2bQccQWgGNcbg,Coffee & Tea,4,166
32163sAKsk3y_HagU9oIUA,Middle Eastern,4,90
5iciHq6BV3hOKpxTXKEzVA,Brazilian,4,236
WtaM26GHmDBiUpVB4lnl2w,Indian,4,1
bgMbt6XbOaAu5VNXr5kCdQ,Indian,4,204
jRiMLcjWiNfGJlQbu12-HQ,Indian,4,2
dpCSDy9uefOEcY44FHss2Q,Chinese,3,388
H89jrU17lNnguPaHbmzhAw,Cantonese,3,266
R1eZIyH8dOECfqUGGcANdQ,Chinese,3,18
HnFHxQUSviXVa1FUGR-Hjw,Tapas Bars,4,148
FXDMFBM-rV2s5MHzA33d2g,Indian,4,209
uPW_isMEB92IDrX04pLK1g,Indian,3,301
DEHWHskp2gSAkfdylc4SNA,French,4,241
01m-oqxaCifh0s0eU03bBg,Chinese,3,59
l7E6lpov_VPbhrxjWT-76Q,American (New),3,311
Ubjy_YwMiU69kdSaXC9bgw,Wine Bars,3,165
SNNDz7nTCL1lf9yEY5DaBA,Mexican,3,19
cOnQnP9GwyvhQjCJbSz5Fg,Pakistani,3,8
hcI6TVxFyVNEPXg3rF1bQw,Mexican,4,98
DfYRsSozlq-z5ovrWsZvmQ,Indian,3,21
FyFeyjndrXHDnN-z9-qv_w,French,4,201
9iZM0dGGP4xJsyHj_7Dj8Q,Chinese,4,15
xhH_7pRMIpj8c9ZXfH5v4Q,French,3,131
agCuWjaUJ8xBO_PDDQRiGw,Chinese,4,111
ak9vroilf-vpA_GSNWX2Jg,Seafood,4,397
2DGTVgGGme6CoXFCgooqVw,Bangladeshi,4,20
fjjzAn0j6zCs2SNViuNfwQ,Indian,3,265
oJjMYhA6z1_BVaQpSdyl8g,Chinese,4,143
utbWLB3zYR1o__iDI9-Xgg,Himalayan/Nepalese,2,18
Okbtt-ISFB3kuoxkl2wVgg,French,5,84
YB3Zygy4g4ga6jDFqjfsAg,Indian,4,9
m1sfDqgDiKKyUaXo9DWVeQ,Vegetarian,4,263
fNxI--522GxiStC-J3SnTw,Indian,4,20
bQPU31GkNo3TkPnq7iSngg,French,4,192
REIcoQFvGB7B6S0GmqHo1A,Japanese,4,108
NH7Ws65ZwlmOosiblfGTRw,Indian,3,60
ApAGKaGPzxcFV3NVHROh-w,Chinese,4,4
OINi1A9bSUUN5vi7xgi3ZQ,Sushi Bars,4,60
FEhAl2T2UGwnsdvjLIQbQA,Salad,3,172
RyVOeKAWLT2srJqpGNFHXw,French,4,14
k8GFfCXO2FIIJIo0ICYSRA,Noodles,4,111
Rk6TXh7nINbzJoGtI2C5cA,Indian,3,76
jKCSGAMyS0KIcS-vKpEuaA,Food Stands,4,102
Gb8-qn-E0g-jOPnwJSelUg,Bakeries,3,98
ZCAkVl5SeCDeBWg_xjfYeg,Chinese,4,235
EVaeiIE_p0m2LkeG6rhh2g,Indian,5,1
BOz0qTUMtAfljd3Vn1rerQ,Japanese,4,157
kHlYnhMOoMBbe3VCZflpKQ,Chinese,4,117
Qgv2vyUV-DwK8YwrhU-jtw,Szechuan,3,105
WbCZW0OBcakQ9oxsLsw8vg,Indian,3,137
NztBFASX-zzg0tROoLiKOg,Indian,4,52
eL1ojVz0QYCZ7xJOii46LQ,French,5,40
K7u5sEQW1LcIJxjpUS1STg,Indian,5,1
L3PwWn54PvHm5Rd4oUg7xw,African,4,69
xdioStDO8FAyQiZWHJiGZQ,Indian,4,189
E2gIY7uWsmvpcUKItVOJoA,Wine Bars,4,38
4FD0TAxe70nb3ngk3sXF9Q,Tea Rooms,4,91
_QxcsvPsYnOgPhiK6gzCfg,Sushi Bars,4,42
fuS39acPaRi38DhSSwEI4Q,Italian,4,312
K8Z10Tx2rwx6CcHV8FcuJg,French,3,430
ahKL-52Ogn7iPFjhQbbb3w,Halal,4,16
WSesw7dMYKmF3XHqD0K0WQ,Indian,3,246
wdGMVLUzocmnl2tST0lheg,Chinese,4,81
hXqrA_Z3jZ8Q1O6ZehWSwQ,Afghan,4,302
KUW8hx5kinOT_XJj3ttCDQ,Chinese,3,49
bKXnm2k44mSdU0fP69lY-g,Szechuan,4,270
XwB2qg5lN1oX2_ccyO515g,Chinese,3,58
ojeMH0rbOOMx9ajChbVkJQ,Mexican,3,394
aSbrPkclNZXBtA2k69Agsw,Wine Bars,4,17
GNbzHUMc2BB23-kW4cJboQ,Sushi Bars,4,74
iXrKGRzIZK0pp31mO3nBzA,Indian,4,115
J9pgjC191T-odCmTAG-grQ,Mexican,4,300
PTYUAAJbEmvIv4EsyRrcnA,Sushi Bars,4,401
NdO1fbZL1DGi_WRyV1_sgQ,Indian,4,9
56PeolgNURAG4x6q7nanmw,Japanese,5,8
A-ert0jDRBfku9ogyW_mEg,Chinese,4,353
zyG1GIU3KnIZ3bOVGgJXlA,Barbeque,3,108
_cD0QQhvA1zft3GBLnkg4g,Chinese,4,1
ju6btoDb3UFhnmmPwrOWgA,Caribbean,4,7
aixlpNVteSFpBS9o_HUsNQ,French,3,252
PwK_4LPh7yQ2VcIGKNKLNw,Indian,3,12
iBPQRnM_TMQX6tYdjCbCXA,Italian,4,361
Rmm6fu7kejcnMoSlVLyl3w,Basque,4,77
_FICyzFLQxR7N62I6qU94A,Sushi Bars,4,61
X4hEgOBOLTYFhlWO-gAFxQ,Shanghainese,4,88
Sj2StOWkhHIPE6_sS5RMCQ,Shanghainese,3,224
nZ0Y8ngCxpY3xlz4f4pNTQ,Modern European,4,395
